display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.27	5	1	0.2682264146	0.2746862274
0.28	2	1	0.2762684366	0.2769586405
0.29	1	1	0.2900288828	0.2900288828
0.3	1	1	0.3016410329	0.3016410329
0.33	1	1	0.3278079129	0.3278079129
0.34	1	1	0.3405186035	0.3405186035
0.43	1	1	0.4320390708	0.4320390708
0.45	1	1	0.4524090490	0.4524090490
0.46	1	1	0.4556788487	0.4556788487
0.49	1	1	0.4877558047	0.4877558047
0.54	1	1	0.5407851057	0.5407851057
0.55	9434	1	0.5544438453	0.5549895963
0.56	153	1	0.5550394787	0.5648820912
0.57	43	1	0.5651271344	0.5744774270
0.58	21	1	0.5752584664	0.5846189410
0.59	24	1	0.5854432555	0.5949823016
0.6	14	1	0.5958243908	0.6049300416
0.61	14	1	0.6052642759	0.6140195518
0.62	13	1	0.6160669388	0.6245786990
0.63	13	1	0.6255613535	0.6341789145
0.64	5	1	0.6366249412	0.6413562134
0.65	10	1	0.6463812438	0.6541483674
0.66	9	1	0.6551693595	0.6638238498
0.67	4	1	0.6658010899	0.6736361002
0.68	5	1	0.6780167564	0.6845735806
0.69	8	1	0.6850521066	0.6932041071
0.7	6	1	0.6959766077	0.7034876162
0.71	3	1	0.7116859742	0.7146369063
0.72	9	1	0.7152330695	0.7249293356
0.74	5	1	0.7357533325	0.7449980591
0.75	4	1	0.7458399046	0.7531597729
0.76	4	1	0.7557572946	0.7638684060
0.77	6	1	0.7657860121	0.7749489304
0.78	5	1	0.7768293698	0.7844254026
0.79	3	1	0.7921689460	0.7941889763
0.81	1	1	0.8147057466	0.8147057466
0.82	1	1	0.8176930953	0.8176930953
0.83	3	1	0.8252172612	0.8347071689
0.84	2	1	0.8369251251	0.8426400245
0.85	5	1	0.8486627511	0.8549082376
0.86	4	1	0.8585130451	0.8643832521
0.87	1	1	0.8678596566	0.8678596566
0.88	1	1	0.8755726153	0.8755726153
0.89	3	1	0.8889612331	0.8917367782
0.9	3	1	0.9014952442	0.9038734588
0.91	6	1	0.9054645759	0.9123384097
0.93	3	1	0.9276809807	0.9291324091
0.94	3	1	0.9355543373	0.9419318430
0.95	2	1	0.9456707714	0.9486562282
0.96	2	1	0.9585624553	0.9593276592
0.97	3	1	0.9654188693	0.9717674436
0.98	2	1	0.9803075521	0.9830875270
1	7	1	1.0052626942	1.0495653429
1.1	14	1	1.0609166411	1.1466251274
1.2	10	1	1.1531175429	1.2367453378
1.3	12	1	1.2606716645	1.3456763833
1.4	17	1	1.3631467250	1.4328115162
1.5	9	1	1.4778249849	1.5383765976
1.6	5	1	1.5594099467	1.5873487166
