rank	action	count
1	RX(q=5)	2449
2	RY(q=5)	1652
3	CNOT(4->5)	1551
4	RX(q=4)	1288
5	RY(q=4)	1229
6	CNOT(5->4)	701
7	CNOT(5->2)	10
8	RX(q=0)	8
9	RY(q=0)	8
10	RX(q=2)	8
11	RY(q=1)	7
12	CNOT(4->3)	6
13	CNOT(4->0)	6
14	CNOT(4->1)	5
15	CNOT(4->2)	5
16	CNOT(2->1)	5
17	CNOT(2->0)	5
18	CNOT(0->1)	5
19	RY(q=2)	4
20	CNOT(5->3)	4
21	CNOT(0->3)	4
22	CNOT(1->3)	3
23	CNOT(0->2)	3
24	RZ(q=4)	2
25	CNOT(1->4)	2
26	RX(q=1)	2
27	CNOT(3->2)	2
28	CNOT(5->1)	2
29	CNOT(3->0)	2
30	CNOT(3->1)	2
31	RY(q=3)	2
32	RX(q=3)	2
33	CNOT(0->4)	2
34	RZ(q=1)	2
35	CNOT(0->5)	1
36	RZ(q=2)	1
37	RZ(q=3)	1
38	RZ(q=0)	1
39	CNOT(5->0)	1
40	CNOT(2->4)	1
41	CNOT(2->3)	1
42	CNOT(1->2)	1
43	CNOT(1->0)	1
