bucket	count	seed_count	mean_hit_step	mean_episode
0.23	1	1	28.0	237.0
0.27	2	1	30.0	1191.5
0.28	1	1	34.0	790.0
0.29	1	1	36.0	540.0
0.31	1	1	36.0	8920.0
0.35	1	1	22.0	3590.0
0.36	1	1	31.0	173.0
0.37	1	1	30.0	8218.0
0.38	2	1	34.5	282.5
0.41	2	1	29.5	1455.0
0.47	1	1	22.0	19396.0
0.49	1	1	41.0	10240.0
0.50	2	1	22.5	4292.0
0.54	2	1	42.5	1923.0
0.57	1	1	30.0	4308.0
0.61	1	1	22.0	9776.0
0.67	1	1	36.0	2171.0
0.73	1	1	26.0	11222.0
0.77	1	1	30.0	6482.0
0.82	1	1	13.0	5825.0
0.83	5	1	32.6	4372.4
0.86	4	1	25.25	8332.25
0.89	1	1	43.0	3715.0
0.91	2	1	29.5	4374.0
0.93	1	1	37.0	5363.0
0.94	2	1	49.0	1164.5
0.96	2	1	41.5	1408.5
0.98	3	1	37.0	3907.6666666666665
1.05	15862	1	6.434119278779473	10670.663409406128
1.06	1130	1	13.201769911504424	8289.2
1.07	352	1	16.446022727272727	7925.866477272727
1.08	271	1	12.309963099630997	9498.487084870849
1.09	183	1	17.43169398907104	7721.6994535519125
1.10	227	1	12.409691629955947	9893.718061674008
1.11	132	1	15.696969696969697	8693.113636363636
1.12	87	1	18.74712643678161	7811.586206896552
1.13	74	1	19.445945945945947	6930.9324324324325
1.14	56	1	20.178571428571427	6377.285714285715
1.15	73	1	21.383561643835616	7191.095890410959
1.16	62	1	21.451612903225808	5569.290322580645
1.17	45	1	21.444444444444443	6755.666666666667
1.18	41	1	17.75609756097561	7143.170731707317
1.19	40	1	17.375	6434.275
1.20	36	1	26.27777777777778	6302.194444444444
1.21	45	1	19.955555555555556	7113.6
1.22	42	1	21.952380952380953	6471.071428571428
1.23	41	1	21.829268292682926	5614.926829268293
1.24	25	1	19.16	9067.36
1.25	43	1	24.906976744186046	6651.0
1.26	21	1	20.952380952380953	7568.0
1.27	30	1	26.1	6650.0
1.28	21	1	24.761904761904763	3784.0
1.29	30	1	20.9	6472.733333333334
1.30	23	1	20.347826086956523	5898.434782608696
1.31	14	1	20.071428571428573	5857.428571428572
1.32	16	1	28.4375	5113.9375
1.33	29	1	25.413793103448278	6408.379310344828
1.34	25	1	25.24	6985.2
1.35	17	1	26.705882352941178	6736.117647058823
1.36	18	1	20.27777777777778	6336.555555555556
1.37	22	1	26.954545454545453	5195.409090909091
1.38	15	1	21.666666666666668	7402.333333333333
1.39	21	1	26.61904761904762	5442.238095238095
1.40	17	1	28.352941176470587	6819.058823529412
1.41	17	1	28.823529411764707	6028.235294117647
1.42	18	1	23.5	7015.833333333333
1.43	18	1	21.88888888888889	8178.5
1.44	12	1	25.666666666666668	7863.416666666667
1.45	18	1	24.72222222222222	6861.888888888889
1.46	11	1	21.454545454545453	6891.181818181818
1.47	15	1	28.666666666666668	4550.8
1.48	11	1	25.727272727272727	6784.0
1.49	10	1	28.6	7839.8
1.50	17	1	27.470588235294116	5404.235294117647
1.51	15	1	25.2	7195.533333333334
1.52	13	1	27.76923076923077	4414.384615384615
1.53	10	1	29.5	6815.1
1.54	15	1	27.8	3542.866666666667
1.55	13	1	28.46153846153846	4030.846153846154
1.56	8	1	30.375	3108.25
1.57	15	1	30.266666666666666	6691.466666666666
1.58	12	1	24.0	5936.5
1.59	10	1	27.8	5790.5
1.60	6	1	28.5	4120.333333333333
