episode	snapshot_index	label	cluster	total_seen	cum_cluster0	cum_cluster1	frac_cluster0	frac_cluster1
238	0	ep238_s0	1	1	0	1	0.0	1.0
2199	0	ep2199_s0	0	2	1	1	0.5	0.5
3356	0	ep3356_s0	0	3	2	1	0.6666666666666666	0.3333333333333333
6318	0	ep6318_s0	0	4	3	1	0.75	0.25
7028	0	ep7028_s0	0	5	4	1	0.8	0.2
7182	0	ep7182_s0	0	6	5	1	0.8333333333333334	0.16666666666666666
7374	0	ep7374_s0	1	7	5	2	0.7142857142857143	0.2857142857142857
7751	0	ep7751_s0	1	8	5	3	0.625	0.375
7970	0	ep7970_s0	1	9	5	4	0.5555555555555556	0.4444444444444444
8081	0	ep8081_s0	1	10	5	5	0.5	0.5
8193	0	ep8193_s0	1	11	5	6	0.45454545454545453	0.5454545454545454
8238	0	ep8238_s0	1	12	5	7	0.4166666666666667	0.5833333333333334
8273	0	ep8273_s0	1	13	5	8	0.38461538461538464	0.6153846153846154
8316	0	ep8316_s0	1	14	5	9	0.35714285714285715	0.6428571428571429
8360	0	ep8360_s0	1	15	5	10	0.3333333333333333	0.6666666666666666
8596	0	ep8596_s0	1	16	5	11	0.3125	0.6875
8689	0	ep8689_s0	1	17	5	12	0.29411764705882354	0.7058823529411765
8752	0	ep8752_s0	1	18	5	13	0.2777777777777778	0.7222222222222222
9195	0	ep9195_s0	1	19	5	14	0.2631578947368421	0.7368421052631579
9260	0	ep9260_s0	1	20	5	15	0.25	0.75
9339	0	ep9339_s0	1	21	5	16	0.23809523809523808	0.7619047619047619
9375	0	ep9375_s0	1	22	5	17	0.22727272727272727	0.7727272727272727
9823	0	ep9823_s0	1	23	5	18	0.21739130434782608	0.782608695652174
9997	0	ep9997_s0	1	24	5	19	0.20833333333333334	0.7916666666666666
10157	0	ep10157_s0	0	25	6	19	0.24	0.76
10177	0	ep10177_s0	1	26	6	20	0.23076923076923078	0.7692307692307693
10182	0	ep10182_s0	1	27	6	21	0.2222222222222222	0.7777777777777778
10414	0	ep10414_s0	0	28	7	21	0.25	0.75
10825	0	ep10825_s0	1	29	7	22	0.2413793103448276	0.7586206896551724
10882	0	ep10882_s0	0	30	8	22	0.26666666666666666	0.7333333333333333
11022	0	ep11022_s0	1	31	8	23	0.25806451612903225	0.7419354838709677
11024	0	ep11024_s0	1	32	8	24	0.25	0.75
11050	0	ep11050_s0	1	33	8	25	0.24242424242424243	0.7575757575757576
11060	0	ep11060_s0	1	34	8	26	0.23529411764705882	0.7647058823529411
11157	0	ep11157_s0	1	35	8	27	0.22857142857142856	0.7714285714285715
11302	0	ep11302_s0	1	36	8	28	0.2222222222222222	0.7777777777777778
11589	0	ep11589_s0	1	37	8	29	0.21621621621621623	0.7837837837837838
11662	0	ep11662_s0	1	38	8	30	0.21052631578947367	0.7894736842105263
11867	0	ep11867_s0	0	39	9	30	0.23076923076923078	0.7692307692307693
12140	0	ep12140_s0	1	40	9	31	0.225	0.775
12216	0	ep12216_s0	1	41	9	32	0.21951219512195122	0.7804878048780488
12218	0	ep12218_s0	1	42	9	33	0.21428571428571427	0.7857142857142857
12759	0	ep12759_s0	1	43	9	34	0.20930232558139536	0.7906976744186046
12828	0	ep12828_s0	1	44	9	35	0.20454545454545456	0.7954545454545454
12876	0	ep12876_s0	0	45	10	35	0.2222222222222222	0.7777777777777778
13334	0	ep13334_s0	1	46	10	36	0.21739130434782608	0.782608695652174
13586	0	ep13586_s0	1	47	10	37	0.2127659574468085	0.7872340425531915
13699	0	ep13699_s0	1	48	10	38	0.20833333333333334	0.7916666666666666
13899	0	ep13899_s0	1	49	10	39	0.20408163265306123	0.7959183673469388
13909	0	ep13909_s0	1	50	10	40	0.2	0.8
14078	0	ep14078_s0	1	51	10	41	0.19607843137254902	0.803921568627451
14134	0	ep14134_s0	1	52	10	42	0.19230769230769232	0.8076923076923077
14438	0	ep14438_s0	1	53	10	43	0.18867924528301888	0.8113207547169812
