bucket	count	seed_count	mean_hit_step	mean_episode
0.27	5	1	22.2	484.4
0.28	2	1	37.0	198.5
0.29	1	1	34.0	443.0
0.30	1	1	41.0	172.0
0.33	1	1	27.0	0.0
0.34	1	1	27.0	175.0
0.43	1	1	47.0	279.0
0.45	1	1	49.0	669.0
0.46	1	1	33.0	5.0
0.49	1	1	13.0	1001.0
0.54	1	1	30.0	583.0
0.55	9434	1	3.2694509221963113	5223.297328810685
0.56	153	1	16.366013071895424	1448.1503267973856
0.57	43	1	20.74418604651163	1048.0
0.58	21	1	18.61904761904762	1388.2857142857142
0.59	24	1	21.333333333333332	1423.5416666666667
0.60	14	1	24.642857142857142	597.2142857142857
0.61	14	1	30.0	1124.7857142857142
0.62	13	1	19.307692307692307	1021.8461538461538
0.63	13	1	21.615384615384617	1761.5384615384614
0.64	5	1	20.0	2187.4
0.65	10	1	25.8	1670.4
0.66	9	1	21.11111111111111	1068.888888888889
0.67	4	1	31.0	461.0
0.68	5	1	19.8	1763.0
0.69	8	1	32.0	1508.375
0.70	6	1	36.833333333333336	488.3333333333333
0.71	3	1	31.333333333333332	394.3333333333333
0.72	9	1	30.333333333333332	769.8888888888889
0.74	5	1	18.6	1717.2
0.75	4	1	23.0	1393.25
0.76	4	1	28.5	638.0
0.77	6	1	21.833333333333332	2821.0
0.78	5	1	24.2	1178.0
0.79	3	1	21.666666666666668	1451.3333333333333
0.81	1	1	20.0	692.0
0.82	1	1	28.0	3169.0
0.83	3	1	30.0	456.3333333333333
0.84	2	1	27.0	2788.5
0.85	5	1	28.2	1237.4
0.86	4	1	33.5	819.25
0.87	1	1	34.0	96.0
0.88	1	1	23.0	58.0
0.89	3	1	32.0	99.0
0.90	3	1	41.666666666666664	351.3333333333333
0.91	6	1	33.166666666666664	1334.8333333333333
0.93	3	1	36.333333333333336	273.3333333333333
0.94	3	1	17.666666666666668	2359.0
0.95	2	1	29.5	1439.0
0.96	2	1	20.5	701.5
0.97	3	1	11.0	1638.3333333333333
0.98	2	1	23.5	1201.5
1.01	2	1	26.0	1152.5
1.02	1	1	32.0	8334.0
1.03	3	1	43.333333333333336	1669.3333333333333
1.05	1	1	19.0	284.0
1.06	1	1	25.0	876.0
1.07	2	1	16.5	516.5
1.08	5	1	26.6	2110.2
1.09	1	1	32.0	465.0
1.10	1	1	35.0	3276.0
1.13	1	1	16.0	2367.0
1.14	2	1	40.5	541.0
1.15	2	1	36.5	379.5
1.18	2	1	34.5	2188.0
1.20	4	1	35.5	2648.5
1.23	2	1	33.5	2578.5
1.24	1	1	30.0	206.0
1.26	2	1	34.5	1866.0
1.27	2	1	19.0	234.5
1.28	1	1	50.0	3802.0
1.29	3	1	25.666666666666668	288.6666666666667
1.30	1	1	8.0	3291.0
1.33	1	1	12.0	1576.0
1.34	1	1	38.0	51.0
1.35	1	1	44.0	231.0
1.36	1	1	30.0	292.0
1.37	4	1	29.0	1482.5
1.38	2	1	24.5	56.5
1.39	1	1	36.0	2584.0
1.40	2	1	30.5	1017.0
1.41	2	1	30.0	2419.5
1.42	2	1	44.5	300.5
1.43	3	1	38.666666666666664	396.0
1.48	1	1	18.0	4388.0
1.50	4	1	37.75	484.0
1.51	2	1	31.0	2967.0
1.54	2	1	32.5	693.0
1.56	1	1	31.0	8264.0
1.57	1	1	42.0	72.0
1.58	2	1	42.5	132.5
1.59	1	1	37.0	526.0
