episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_signature
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep568__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	568	0	32	0.273834	0.229500	0.243220	0.013720	0.550000	32	0	32	17	15	46.88	cobyla	CNOT(0->3)	RX(q=0) | CNOT(0->1) | CNOT(1->3) | CNOT(0->2) | RY(q=3) | CNOT(3->0) | RY(q=0) | CNOT(1->2) | CNOT(3->4) | CNOT(3->1) | CNOT(3->0) | RX(q=4) | CNOT(1->5) | RZ(q=4) | CNOT(3->5) | CNOT(4->1) | CNOT(0->3)	"[""RX(q=0)"", ""CNOT(0->1)"", ""CNOT(1->3)"", ""CNOT(0->2)"", ""RY(q=3)"", ""CNOT(3->0)"", ""RY(q=0)"", ""CNOT(1->2)"", ""CNOT(3->4)"", ""CNOT(3->1)"", ""CNOT(3->0)"", ""RX(q=4)"", ""CNOT(1->5)"", ""RZ(q=4)"", ""CNOT(3->5)"", ""CNOT(4->1)"", ""CNOT(0->3)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep790__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	790	0	34	0.280510	0.231046	0.228116	-0.002931	0.550000	34	2	32	17	17	50.00	cobyla	CNOT(1->3)	RX(q=0) | CNOT(0->5) | CNOT(0->4) | RX(q=3) | CNOT(3->0) | CNOT(3->4) | CNOT(3->2) | CNOT(0->5) | CNOT(0->3) | CNOT(4->5) | RZ(q=4) | RY(q=0) | RY(q=5) | RX(q=1) | CNOT(4->1) | RX(q=2) | CNOT(1->3)	"[""RX(q=0)"", ""CNOT(0->5)"", ""CNOT(0->4)"", ""RX(q=3)"", ""CNOT(3->0)"", ""CNOT(3->4)"", ""CNOT(3->2)"", ""CNOT(0->5)"", ""CNOT(0->3)"", ""CNOT(4->5)"", ""RZ(q=4)"", ""RY(q=0)"", ""RY(q=5)"", ""RX(q=1)"", ""CNOT(4->1)"", ""RX(q=2)"", ""CNOT(1->3)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep10240__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	10240	0	41	0.492702	0.303064	0.225148	-0.077916	0.603064	41	2	39	17	24	58.54	cobyla	CNOT(2->5)	RY(q=0) | CNOT(0->4) | CNOT(0->5) | RY(q=4) | CNOT(5->2) | CNOT(2->0) | CNOT(5->2) | RX(q=4) | RX(q=1) | CNOT(1->5) | CNOT(1->0) | RX(q=1) | CNOT(1->3) | CNOT(5->3) | CNOT(5->4) | RY(q=1) | RZ(q=4)	"[""RY(q=0)"", ""CNOT(0->4)"", ""CNOT(0->5)"", ""RY(q=4)"", ""CNOT(5->2)"", ""CNOT(2->0)"", ""CNOT(5->2)"", ""RX(q=4)"", ""RX(q=1)"", ""CNOT(1->5)"", ""CNOT(1->0)"", ""RX(q=1)"", ""CNOT(1->3)"", ""CNOT(5->3)"", ""CNOT(5->4)"", ""RY(q=1)"", ""RZ(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep226__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	226	0	36	0.375877	0.248218	0.234903	-0.013315	0.550000	36	4	32	24	12	33.33	cobyla	CNOT(3->2)	RX(q=1) | CNOT(1->5) | CNOT(5->2) | CNOT(2->3) | RX(q=2) | RY(q=5) | CNOT(1->0) | CNOT(3->2) | RX(q=2) | CNOT(1->5) | RZ(q=1) | CNOT(1->2) | CNOT(5->1) | CNOT(3->4) | CNOT(0->5) | RX(q=3) | CNOT(0->3) | RX(q=4) | CNOT(0->1) | CNOT(5->2) | CNOT(0->3) | CNOT(3->1) | CNOT(4->3) | CNOT(3->2)	"[""RX(q=1)"", ""CNOT(1->5)"", ""CNOT(5->2)"", ""CNOT(2->3)"", ""RX(q=2)"", ""RY(q=5)"", ""CNOT(1->0)"", ""CNOT(3->2)"", ""RX(q=2)"", ""CNOT(1->5)"", ""RZ(q=1)"", ""CNOT(1->2)"", ""CNOT(5->1)"", ""CNOT(3->4)"", ""CNOT(0->5)"", ""RX(q=3)"", ""CNOT(0->3)"", ""RX(q=4)"", ""CNOT(0->1)"", ""CNOT(5->2)"", ""CNOT(0->3)"", ""CNOT(3->1)"", ""CNOT(4->3)"", ""CNOT(3->2)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep2171__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	2171	0	36	0.667701	0.252260	0.228116	-0.024144	0.552260	36	4	32	13	23	63.89	cobyla	RZ(q=0)	RY(q=1) | CNOT(1->0) | RX(q=4) | RY(q=4) | CNOT(4->2) | CNOT(4->1) | CNOT(4->2) | CNOT(0->4) | CNOT(0->4) | RX(q=0) | CNOT(1->5) | RY(q=5) | CNOT(1->0)	"[""RY(q=1)"", ""CNOT(1->0)"", ""RX(q=4)"", ""RY(q=4)"", ""CNOT(4->2)"", ""CNOT(4->1)"", ""CNOT(4->2)"", ""CNOT(0->4)"", ""CNOT(0->4)"", ""RX(q=0)"", ""CNOT(1->5)"", ""RY(q=5)"", ""CNOT(1->0)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep173__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	173	0	31	0.360618	0.232883	0.368086	0.135203	0.550000	31	3	28	17	14	45.16	cobyla	CNOT(3->2)	RX(q=0) | CNOT(0->2) | RX(q=3) | RY(q=0) | CNOT(3->0) | CNOT(0->5) | RY(q=1) | CNOT(1->5) | CNOT(0->4) | CNOT(1->2) | CNOT(3->0) | CNOT(5->3) | CNOT(5->1) | CNOT(1->0) | RZ(q=5) | RX(q=3) | RX(q=4)	"[""RX(q=0)"", ""CNOT(0->2)"", ""RX(q=3)"", ""RY(q=0)"", ""CNOT(3->0)"", ""CNOT(0->5)"", ""RY(q=1)"", ""CNOT(1->5)"", ""CNOT(0->4)"", ""CNOT(1->2)"", ""CNOT(3->0)"", ""CNOT(5->3)"", ""CNOT(5->1)"", ""CNOT(1->0)"", ""RZ(q=5)"", ""RX(q=3)"", ""RX(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep339__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	339	0	33	0.383030	0.260187	0.228117	-0.032070	0.560187	33	1	32	16	17	51.52	cobyla	CNOT(1->2)	RX(q=0) | RX(q=1) | CNOT(0->5) | RX(q=3) | CNOT(3->1) | RZ(q=3) | RY(q=0) | CNOT(1->0) | RY(q=4) | CNOT(5->3) | CNOT(5->4) | CNOT(3->5) | CNOT(5->4) | CNOT(1->2) | CNOT(1->3) | CNOT(1->2)	"[""RX(q=0)"", ""RX(q=1)"", ""CNOT(0->5)"", ""RX(q=3)"", ""CNOT(3->1)"", ""RZ(q=3)"", ""RY(q=0)"", ""CNOT(1->0)"", ""RY(q=4)"", ""CNOT(5->3)"", ""CNOT(5->4)"", ""CNOT(3->5)"", ""CNOT(5->4)"", ""CNOT(1->2)"", ""CNOT(1->3)"", ""CNOT(1->2)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep9776__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	9776	0	22	0.608574	0.310967	0.242398	-0.068569	0.610967	22	0	22	18	4	18.18	cobyla	CNOT(2->3)	RX(q=2) | RY(q=5) | CNOT(2->5) | RX(q=1) | RX(q=4) | CNOT(5->1) | CNOT(1->3) | RY(q=4) | CNOT(2->4) | RZ(q=5) | RY(q=3) | RX(q=3) | CNOT(5->0) | RX(q=2) | CNOT(0->5) | CNOT(2->3) | CNOT(4->5) | CNOT(1->2)	"[""RX(q=2)"", ""RY(q=5)"", ""CNOT(2->5)"", ""RX(q=1)"", ""RX(q=4)"", ""CNOT(5->1)"", ""CNOT(1->3)"", ""RY(q=4)"", ""CNOT(2->4)"", ""RZ(q=5)"", ""RY(q=3)"", ""RX(q=3)"", ""CNOT(5->0)"", ""RX(q=2)"", ""CNOT(0->5)"", ""CNOT(2->3)"", ""CNOT(4->5)"", ""CNOT(1->2)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep19396__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	19396	0	22	0.471721	0.268509	0.238086	-0.030423	0.568509	22	0	22	10	12	54.55	cobyla	RZ(q=0)	RX(q=4) | CNOT(4->0) | CNOT(4->5) | CNOT(5->1) | RZ(q=0) | RX(q=5) | CNOT(4->5) | RX(q=2) | CNOT(0->5) | RX(q=4)	"[""RX(q=4)"", ""CNOT(4->0)"", ""CNOT(4->5)"", ""CNOT(5->1)"", ""RZ(q=0)"", ""RX(q=5)"", ""CNOT(4->5)"", ""RX(q=2)"", ""CNOT(0->5)"", ""RX(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep1333__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	1333	0	31	0.501762	0.260471	0.228119	-0.032352	0.560471	31	1	30	20	11	35.48	cobyla	CNOT(4->2)	RX(q=2) | RX(q=3) | CNOT(2->3) | CNOT(3->1) | RX(q=5) | RY(q=3) | RX(q=0) | CNOT(0->3) | CNOT(0->1) | CNOT(0->1) | CNOT(3->4) | CNOT(5->2) | CNOT(0->4) | CNOT(0->3) | RX(q=2) | CNOT(2->3) | CNOT(1->5) | CNOT(5->0) | RZ(q=4) | CNOT(4->2)	"[""RX(q=2)"", ""RX(q=3)"", ""CNOT(2->3)"", ""CNOT(3->1)"", ""RX(q=5)"", ""RY(q=3)"", ""RX(q=0)"", ""CNOT(0->3)"", ""CNOT(0->1)"", ""CNOT(0->1)"", ""CNOT(3->4)"", ""CNOT(5->2)"", ""CNOT(0->4)"", ""CNOT(0->3)"", ""RX(q=2)"", ""CNOT(2->3)"", ""CNOT(1->5)"", ""CNOT(5->0)"", ""RZ(q=4)"", ""CNOT(4->2)""]"
